year,Action,Comedy,Animation,Drama,Documentary,Romance,Short
1893,0,0,0,0,0,0,1
1894,0,0,0,0,5,0,9
1895,0,0,0,0,2,0,3
1896,0,1,0,1,7,0,12
1897,0,2,0,0,6,0,7
1898,0,2,0,1,1,0,5
1899,0,1,0,2,4,0,8
1900,0,5,1,2,5,0,16
1901,1,8,0,5,9,1,27
1902,0,2,0,1,2,0,9
1903,3,8,0,2,8,1,37
1904,0,10,0,3,4,0,42
1905,0,6,0,4,2,0,17
1906,0,2,1,5,4,0,15
1907,0,6,1,1,0,0,12
1908,3,8,1,8,1,0,24
1909,0,7,1,14,0,1,29
1910,0,2,0,14,2,3,26
1911,1,2,1,14,1,1,21
1912,0,4,1,22,0,5,30
1913,2,11,2,13,1,0,22
1914,1,38,1,13,1,0,38
1915,2,22,3,16,1,0,35
1916,1,27,6,13,0,2,29
1917,0,18,0,14,0,2,15
1918,1,23,3,14,1,2,22
1919,2,29,3,17,2,5,20
1920,0,20,0,14,0,3,13
1921,1,23,2,23,0,6,17
1922,0,16,4,20,1,8,14
1923,1,19,3,20,2,11,17
1924,3,24,2,15,0,7,18
1925,0,36,4,27,2,10,21
1926,5,40,3,37,2,17,26
1927,3,32,2,41,2,21,20
1928,5,45,6,51,4,9,33
1929,0,60,17,74,11,14,54
1930,4,125,26,106,7,53,74
1931,5,146,41,138,5,45,91
1932,5,143,63,157,6,33,116
1933,6,159,51,167,7,66,107
1934,8,192,49,164,7,61,123
1935,17,192,69,140,13,62,122
1936,9,212,85,120,4,47,143
1937,14,209,75,153,10,62,127
1938,8,217,76,133,11,53,126
1939,17,183,80,179,10,35,127
1940,15,213,85,156,16,45,134
1941,16,242,97,139,16,57,141
1942,24,203,100,148,19,40,145
1943,18,165,74,129,26,26,123
1944,11,157,68,118,14,32,101
1945,15,126,51,122,22,28,84
1946,10,144,66,135,12,32,101
1947,14,137,61,162,7,41,85
1948,21,172,79,179,12,35,107
1949,18,179,80,187,9,43,100
1950,14,166,72,167,11,27,99
1951,17,187,71,191,13,39,105
1952,18,178,69,194,12,31,90
1953,21,178,63,183,13,44,92
1954,23,168,70,177,12,47,96
1955,13,154,61,220,15,49,93
1956,13,143,56,183,17,38,83
1957,13,142,41,236,13,44,68
1958,16,141,36,219,10,42,53
1959,24,143,31,186,13,42,50
1960,19,126,27,224,13,35,38
1961,28,135,30,186,12,32,49
1962,25,163,35,210,11,30,53
1963,30,164,21,199,19,32,43
1964,39,160,28,189,21,34,46
1965,29,175,58,158,29,20,85
1966,32,176,50,168,20,20,86
1967,40,193,43,200,38,39,79
1968,45,166,46,223,37,29,79
1969,46,164,23,266,22,31,44
1970,31,156,12,252,32,28,30
1971,55,155,23,260,40,25,42
1972,59,146,11,238,31,19,27
1973,68,150,9,258,24,22,27
1974,85,130,18,258,27,32,25
1975,63,148,20,244,36,32,44
1976,82,148,16,250,38,26,36
1977,79,152,20,246,24,27,26
1978,64,151,22,231,39,30,35
1979,65,160,20,248,27,38,32
1980,72,184,13,230,33,41,38
1981,62,178,19,243,31,43,22
1982,83,172,18,255,40,34,39
1983,78,166,25,265,31,41,33
1984,83,190,26,278,45,57,38
1985,108,213,33,256,45,59,52
1986,131,204,29,289,31,44,40
1987,109,252,35,339,49,55,56
1988,94,249,37,332,42,67,50
1989,132,239,37,324,37,63,63
1990,134,232,21,321,41,65,50
1991,97,250,37,330,46,76,68
1992,120,240,30,347,74,77,75
1993,137,254,32,381,60,84,95
1994,147,309,41,435,94,97,141
1995,161,281,52,493,84,116,165
1996,159,352,52,493,98,127,194
1997,162,404,49,555,133,161,217
1998,144,451,61,634,133,160,279
1999,160,562,85,694,156,184,408
2000,154,561,89,793,175,207,449
2001,169,582,82,837,196,211,468
2002,176,591,81,929,249,245,533
2003,180,642,94,899,261,215,555
2004,147,597,56,805,258,169,480
2005,43,123,10,137,35,37,54
