date,DriversKilled,drivers,FrontSeat,RearSeat,kms,PetrolPrice,VanKilled,law
Jan-69,107,1687,867,269,9059,0.102971812,12,0
Feb-69,97,1508,825,265,7685,0.102362996,6,0
Mar-69,102,1507,806,319,9963,0.102062491,12,0
Apr-69,87,1385,814,407,10955,0.100873301,8,0
May-69,119,1632,991,454,11823,0.101019673,10,0
Jun-69,106,1511,945,427,12391,0.100581192,13,0
Jul-69,110,1559,1004,522,13460,0.103773981,11,0
Aug-69,106,1630,1091,536,14055,0.104076404,6,0
Sep-69,107,1579,958,405,12106,0.103773981,10,0
Oct-69,134,1653,850,437,11372,0.103026401,16,0
Nov-69,147,2152,1109,434,9834,0.102730112,13,0
Dec-69,180,2148,1113,437,9267,0.101997192,14,0
Jan-70,125,1752,925,316,9130,0.101274563,14,0
Feb-70,134,1765,903,311,8933,0.100703976,6,0
Mar-70,110,1717,1006,351,11000,0.100139607,8,0
Apr-70,102,1558,892,362,10733,0.098621104,11,0
May-70,103,1575,990,486,12912,0.098349285,7,0
Jun-70,111,1520,866,429,12926,0.098080177,13,0
Jul-70,120,1805,1095,551,13990,0.097279208,13,0
Aug-70,129,1800,1204,646,14926,0.097410624,11,0
Sep-70,122,1719,1029,456,12900,0.097425237,11,0
Oct-70,183,2008,1147,475,12034,0.096380633,14,0
Nov-70,169,2242,1171,456,10643,0.095738956,16,0
Dec-70,190,2478,1299,468,10742,0.095106306,14,0
Jan-71,134,2030,944,356,10266,0.096735967,17,0
Feb-71,108,1655,874,271,10281,0.096109222,16,0
Mar-71,104,1693,840,354,11527,0.095367255,15,0
Apr-71,117,1623,893,427,12281,0.094709592,13,0
May-71,157,1805,1007,465,13587,0.09411762,13,0
Jun-71,148,1746,973,440,13049,0.093532155,15,0
Jul-71,130,1795,1097,539,16055,0.092954049,12,0
Aug-71,140,1926,1194,646,15220,0.092839786,6,0
Sep-71,136,1619,988,457,13824,0.092724736,9,0
Oct-71,140,1992,1077,446,12729,0.092269651,13,0
Nov-71,187,2233,1045,402,11467,0.091706685,14,0
Dec-71,150,2192,1115,441,11351,0.091262072,15,0
Jan-72,159,2080,1005,359,10803,0.090711603,14,0
Feb-72,143,1768,857,334,10548,0.090276328,3,0
Mar-72,114,1835,879,312,12368,0.089951918,12,0
Apr-72,127,1569,887,427,13311,0.089099639,13,0
May-72,159,1976,1075,434,13885,0.088679193,12,0
Jun-72,156,1853,1121,486,14088,0.088159289,8,0
Jul-72,138,1965,1190,569,16932,0.088902057,8,0
Aug-72,120,1689,1058,523,16164,0.088181331,15,0
Sep-72,117,1778,939,418,14883,0.088940293,8,0
Oct-72,170,1976,1074,452,13532,0.08772661,5,0
Nov-72,168,2397,1089,462,12220,0.087428846,17,0
Dec-72,198,2654,1208,497,12025,0.08703543,14,0
Jan-73,144,2097,903,354,11692,0.086449919,13,0
Feb-73,146,1963,916,347,11081,0.085872641,5,0
Mar-73,109,1677,787,276,13745,0.085398222,8,0
Apr-73,131,1941,1114,472,14382,0.083821981,5,0
May-73,151,2003,1014,487,14391,0.08459078,12,0
Jun-73,140,1813,1022,505,15597,0.084136904,11,0
Jul-73,153,2012,1114,619,16834,0.083778405,13,0
Aug-73,140,1912,1132,640,17282,0.083510743,15,0
Sep-73,161,2084,1111,559,15779,0.082806394,11,0
Oct-73,168,2080,1008,453,13946,0.081178893,11,0
Nov-73,152,2118,916,418,12701,0.082853607,10,0
Dec-73,136,2150,992,419,10431,0.094190119,13,0
Jan-74,113,1608,731,262,11616,0.092399843,8,0
Feb-74,100,1503,665,299,10808,0.108161478,6,0
Mar-74,103,1548,724,303,12421,0.107211689,8,0
Apr-74,103,1382,744,401,13605,0.114042967,14,0
May-74,121,1731,910,413,14455,0.112454116,12,0
Jun-74,134,1798,883,426,15019,0.111316253,14,0
Jul-74,133,1779,900,516,15662,0.110301252,13,0
Aug-74,129,1887,1057,600,16745,0.108197177,9,0
Sep-74,144,2004,1076,459,14717,0.107027443,4,0
Oct-74,154,2077,919,443,13756,0.104946981,13,0
Nov-74,156,2092,920,412,12531,0.119357749,6,0
Dec-74,163,2051,953,400,12568,0.117621904,15,0
Jan-75,122,1577,664,278,11249,0.133027421,12,0
Feb-75,92,1356,607,302,11096,0.130845244,16,0
Mar-75,117,1652,777,381,12637,0.128318477,7,0
Apr-75,95,1382,633,279,13018,0.123547448,12,0
May-75,96,1519,791,442,15005,0.118586812,10,0
Jun-75,108,1421,790,409,15235,0.11633748,9,0
Jul-75,108,1442,803,416,15552,0.115161476,9,0
Aug-75,106,1543,884,511,16905,0.114501197,6,0
Sep-75,140,1656,769,393,14776,0.113522979,7,0
Oct-75,114,1561,732,345,14104,0.111930179,13,0
Nov-75,158,1905,859,391,12854,0.110610529,14,0
Dec-75,161,2199,994,470,12956,0.115274389,13,0
Jan-76,102,1473,704,266,12177,0.113793486,14,0
Feb-76,127,1655,684,312,11918,0.112349582,11,0
Mar-76,125,1407,671,300,13517,0.111753469,11,0
Apr-76,101,1395,643,373,14417,0.109642523,10,0
May-76,97,1530,771,412,15911,0.108440895,4,0
Jun-76,112,1309,644,322,15589,0.107884939,8,0
Jul-76,112,1526,828,458,16543,0.109084769,9,0
Aug-76,113,1327,748,427,17925,0.10757145,10,0
Sep-76,108,1627,767,346,15406,0.106164022,10,0
Oct-76,128,1748,825,421,14601,0.106299999,5,0
Nov-76,154,1958,810,344,13107,0.104825313,13,0
Dec-76,162,2274,986,370,12268,0.103451746,12,0
Jan-77,112,1648,714,291,11972,0.10144992,10,0
Feb-77,79,1401,567,224,12028,0.100402316,9,0
Mar-77,82,1411,616,266,14033,0.098862034,7,0
Apr-77,127,1403,678,338,14244,0.102496154,5,0
May-77,108,1394,742,298,15287,0.103027432,10,0
Jun-77,110,1520,840,386,16954,0.102178908,5,0
