Category,Grades,Feature
V Low,10.625,Family Relation
Low,9.888888889,Family Relation
Medium,10.04411765,Family Relation
High,10.35897436,Family Relation
V High,10.83018868,Family Relation
V Low,9.869565217,Go out
Low,11.19417476,Go out
Medium,10.96153846,Go out
High,9.651162791,Go out
V High,9.037735849,Go out
V Low,10.73188406,Daily Alcohol Consumption
Low,9.253333333,Daily Alcohol Consumption
Medium,10.5,Daily Alcohol Consumption
High,9.888888889,Daily Alcohol Consumption
V High,10.66666667,Daily Alcohol Consumption
V Low,10.73509934,Weekly Alcohol Consumption
Low,10.08235294,Weekly Alcohol Consumption
Medium,10.725,Weekly Alcohol Consumption
High,9.68627451,Weekly Alcohol Consumption
V High,10.14285714,Weekly Alcohol Consumption
V Low,9.74863388,Absences
Low,11.4742268,Absences
Medium,10.89655172,Absences
High,11.56521739,Absences
V High,10.07936508,Absences
V Low,9.842105263,Free Time
Low,11.5625,Free Time
Medium,9.78343949,Free Time
High,10.42608696,Free Time
V High,11.3,Free Time
